Date,Close,Vol.L4,Vol.L5,Vol.L11,Vol.L12,Vol.L13,Vol.L17,Vol.L18,% Hold.L4,% Hold.L7,Rating.L3,Rating.L4,Rating.L5,Rating.L14,Rating.L15,Rating.L16,Rating.L20
2/7/2003,23.29,0.415413881,0.409749496,0.402513262,0.375818817,0.364223058,0.284455255,0.304476016,0.3529411764705882,0.3333333333333333,4.16667,4.16667,4.19355,4.22581,4.22581,4.22581,4.27586
2/10/2003,23.69,0.406016093,0.415413881,0.403968449,0.402513262,0.375818817,0.264206851,0.284455255,0.3529411764705882,0.3333333333333333,4.16667,4.16667,4.16667,4.21875,4.22581,4.22581,4.26667
2/11/2003,23.22,0.399981522,0.406016093,0.403875883,0.403968449,0.402513262,0.367424922,0.264206851,0.3529411764705882,0.3333333333333333,4.16667,4.16667,4.16667,4.21875,4.21875,4.22581,4.26667
2/12/2003,23.22,0.394791749,0.399981522,0.413706762,0.403875883,0.403968449,0.364479666,0.367424922,0.3529411764705882,0.3529411764705882,4.13793,4.16667,4.16667,4.21875,4.21875,4.21875,4.22581
2/13/2003,23.495,0.383502025,0.394791749,0.427621884,0.413706762,0.403875883,0.364223058,0.364479666,0.375,0.3529411764705882,4.13793,4.13793,4.16667,4.19355,4.21875,4.21875,4.22581
2/14/2003,24.15,0.384017412,0.383502025,0.426045199,0.427621884,0.413706762,0.375818817,0.364223058,0.375,0.3529411764705882,4.13793,4.13793,4.13793,4.19355,4.19355,4.21875,4.22581
2/18/2003,24.96,0.380366868,0.384017412,0.409749496,0.426045199,0.427621884,0.402513262,0.375818817,0.375,0.3529411764705882,4.13793,4.13793,4.13793,4.19355,4.19355,4.19355,4.22581
2/19/2003,24.53,0.381396968,0.380366868,0.415413881,0.409749496,0.426045199,0.403968449,0.402513262,0.375,0.375,4.13333,4.13793,4.13793,4.19355,4.19355,4.19355,4.21875
2/20/2003,24.15,0.401650224,0.381396968,0.406016093,0.415413881,0.409749496,0.403875883,0.403968449,0.375,0.375,4.13333,4.13333,4.13793,4.19355,4.19355,4.19355,4.21875
2/21/2003,24.61,0.423333176,0.401650224,0.399981522,0.406016093,0.415413881,0.413706762,0.403875883,0.375,0.375,4.13333,4.13333,4.13333,4.19355,4.19355,4.19355,4.21875
2/24/2003,24.07,0.346462448,0.423333176,0.394791749,0.399981522,0.406016093,0.427621884,0.413706762,0.375,0.375,4.13333,4.13333,4.13333,4.16667,4.19355,4.19355,4.19355
2/25/2003,24.19,0.349606535,0.346462448,0.383502025,0.394791749,0.399981522,0.426045199,0.427621884,0.375,0.375,4.13333,4.13333,4.13333,4.16667,4.16667,4.19355,4.19355
2/26/2003,23.6,0.357145398,0.349606535,0.384017412,0.383502025,0.394791749,0.409749496,0.426045199,0.375,0.375,4.13333,4.13333,4.13333,4.16667,4.16667,4.16667,4.19355
2/27/2003,23.58,0.350524426,0.357145398,0.380366868,0.384017412,0.383502025,0.415413881,0.409749496,0.375,0.375,4.17241,4.13333,4.13333,4.16667,4.16667,4.16667,4.19355
2/28/2003,23.7,0.313017045,0.350524426,0.381396968,0.380366868,0.384017412,0.406016093,0.415413881,0.3333333333333333,0.375,4.24138,4.17241,4.13333,4.13793,4.16667,4.16667,4.19355
3/3/2003,23.54,0.320720845,0.313017045,0.401650224,0.381396968,0.380366868,0.399981522,0.406016093,0.2666666666666666,0.375,4.24138,4.24138,4.17241,4.13793,4.13793,4.16667,4.19355
3/4/2003,23.07,0.320138733,0.320720845,0.423333176,0.401650224,0.381396968,0.394791749,0.399981522,0.2666666666666666,0.375,4.24138,4.24138,4.24138,4.13793,4.13793,4.13793,4.16667
3/5/2003,23.44,0.309606174,0.320138733,0.346462448,0.423333176,0.401650224,0.383502025,0.394791749,0.2666666666666666,0.3333333333333333,4.21429,4.24138,4.24138,4.13793,4.13793,4.13793,4.16667
3/6/2003,23.27,0.288058001,0.309606174,0.349606535,0.346462448,0.423333176,0.384017412,0.383502025,0.2857142857142857,0.2666666666666666,4.21429,4.21429,4.24138,4.13333,4.13793,4.13793,4.16667
3/7/2003,23.56,0.290941936,0.288058001,0.357145398,0.349606535,0.346462448,0.380366868,0.384017412,0.2857142857142857,0.2666666666666666,4.21429,4.21429,4.21429,4.13333,4.13333,4.13793,4.16667
3/10/2003,22.95,0.284574283,0.290941936,0.350524426,0.357145398,0.349606535,0.381396968,0.380366868,0.2857142857142857,0.2666666666666666,4.21429,4.21429,4.21429,4.13333,4.13333,4.13333,4.13793
3/11/2003,22.79,0.271524971,0.284574283,0.313017045,0.350524426,0.357145398,0.401650224,0.381396968,0.2857142857142857,0.2857142857142857,4.24138,4.21429,4.21429,4.13333,4.13333,4.13333,4.13793
3/12/2003,23.39,0.273871221,0.271524971,0.320720845,0.313017045,0.350524426,0.423333176,0.401650224,0.2666666666666666,0.2857142857142857,4.24138,4.24138,4.21429,4.13333,4.13333,4.13333,4.13793
3/13/2003,24.67,0.286334512,0.273871221,0.320138733,0.320720845,0.313017045,0.346462448,0.423333176,0.2666666666666666,0.2857142857142857,4.24138,4.24138,4.24138,4.13333,4.13333,4.13333,4.13793
3/14/2003,24.86,0.280876469,0.286334512,0.309606174,0.320138733,0.320720845,0.349606535,0.346462448,0.2666666666666666,0.2857142857142857,4.24138,4.24138,4.24138,4.17241,4.13333,4.13333,4.13333
3/17/2003,25.93,0.289650356,0.280876469,0.288058001,0.309606174,0.320138733,0.357145398,0.349606535,0.2666666666666666,0.2666666666666666,4.25,4.24138,4.24138,4.24138,4.17241,4.13333,4.13333
3/18/2003,26.04,0.334990446,0.289650356,0.290941936,0.288058001,0.309606174,0.350524426,0.357145398,0.2666666666666666,0.2666666666666666,4.25,4.25,4.24138,4.24138,4.24138,4.17241,4.13333
3/19/2003,26.32,0.335168178,0.334990446,0.284574283,0.290941936,0.288058001,0.313017045,0.350524426,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.24138,4.24138,4.24138,4.13333
3/20/2003,26.25,0.36029058,0.335168178,0.271524971,0.284574283,0.290941936,0.320720845,0.313017045,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.21429,4.24138,4.24138,4.13333
3/21/2003,26.57,0.350751202,0.36029058,0.273871221,0.271524971,0.284574283,0.320138733,0.320720845,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.21429,4.21429,4.24138,4.13333
3/24/2003,25.29,0.335496687,0.350751202,0.286334512,0.273871221,0.271524971,0.309606174,0.320138733,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.21429,4.21429,4.21429,4.17241
3/25/2003,25.49,0.330548362,0.335496687,0.280876469,0.286334512,0.273871221,0.288058001,0.309606174,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.21429,4.21429,4.21429,4.24138
3/26/2003,25.25,0.324537345,0.330548362,0.289650356,0.280876469,0.286334512,0.290941936,0.288058001,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.24138,4.21429,4.21429,4.24138
3/27/2003,25.04,0.369568217,0.324537345,0.334990446,0.289650356,0.280876469,0.284574283,0.290941936,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.24138,4.24138,4.21429,4.24138
3/28/2003,24.67,0.360048036,0.369568217,0.335168178,0.334990446,0.289650356,0.271524971,0.284574283,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.24138,4.24138,4.24138,4.21429
3/31/2003,24.21,0.362378753,0.360048036,0.36029058,0.335168178,0.334990446,0.273871221,0.271524971,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.24138,4.24138,4.24138,4.21429
4/1/2003,24.35,0.351444836,0.362378753,0.350751202,0.36029058,0.335168178,0.286334512,0.273871221,0.2666666666666666,0.2666666666666666,4.25,4.25,4.25,4.25,4.24138,4.24138,4.21429
4/2/2003,25.72,0.356617794,0.351444836,0.335496687,0.350751202,0.36029058,0.280876469,0.286334512,0.2666666666666666,0.2666666666666666,4.2963,4.25,4.25,4.25,4.25,4.24138,4.21429
4/3/2003,25.73,0.363687618,0.356617794,0.330548362,0.335496687,0.350751202,0.289650356,0.280876469,0.2142857142857142,0.2666666666666666,4.30769,4.2963,4.25,4.25,4.25,4.25,4.24138
